x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
560,120,Eng2_04F-01:-82,Eng2_02F_A03:-71,Eng2_03F-08:-89,Eng2_06F-06:-78,5,1574980390
560,100,Eng2_04F-01:-82,Eng2_02F_A03:-79,Eng2_03F-05:-66,Eng2_03F-04:-88,5,1574980392
580,100,Eng2_04F-01:-82,Eng2_02F_A03:-83,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980394
610,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980396
630,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980398
660,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-89,Eng2_06F-06:-88,5,1574980400
680,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-89,Eng2_06F-06:-88,5,1574980402
710,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-77,Eng2_06F-06:-88,5,1574980404
730,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-77,Eng2_06F-06:-88,5,1574980406
710,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-84,Eng2_06F-06:-88,5,1574980408
690,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-84,Eng2_06F-06:-88,5,1574980410
670,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_06F-06:-81,5,1574980412
640,100,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_06F-06:-81,5,1574980414
620,100,Eng2_04F-01:-82,Eng2_02F_A03:-76,Eng2_03F-08:-90,Eng2_06F-06:-81,5,1574980416
600,100,Eng2_04F-01:-82,Eng2_02F_A03:-76,Eng2_03F-08:-90,Eng2_06F-06:-81,5,1574980418
580,100,Eng2_04F-01:-83,Eng2_02F_A03:-76,Eng2_02F_A04:-84,Eng2_03F-08:-90,5,1574980420
560,100,Eng2_04F-01:-83,Eng2_02F_A03:-76,Eng2_02F_A04:-84,Eng2_03F-08:-90,5,1574980422
530,100,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-84,Eng2_03F-05:-79,5,1574980424
490,100,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-84,Eng2_03F-05:-79,5,1574980426
460,100,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980428
430,100,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980430
390,100,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980432
390,120,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980434
390,150,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980436
390,170,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980438
390,200,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng1_01F_A22:-88,Eng2_02F_A04:-72,5,1574980440
370,200,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng1_01F_A22:-88,Eng2_02F_A04:-72,5,1574980442
340,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng2_02F_A04:-72,Eng2_03F-05:-83,5,1574980444
320,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980446
300,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_02F_A04:-72,5,1574980448
270,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_02F_A04:-72,5,1574980450
250,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980452
220,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980454
200,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980456
170,200,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980458
170,170,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980460
140,170,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980462
140,150,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980464
140,120,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980466
140,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980468
110,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980471
90,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980473
70,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980475
40,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980477
20,100,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980479
40,100,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-76,5,1574980481
70,100,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-76,5,1574980483
90,100,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-70,5,1574980485
110,100,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-70,5,1574980487
140,100,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980489
140,130,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980491
140,170,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980493
140,200,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980495
110,200,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980497
90,200,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980499
70,200,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980501
40,200,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980503
20,200,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980505
40,200,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980507
70,200,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980509
90,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980511
110,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980513
140,200,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980515
