x,y,epochTime
1212,303,1575160409
1721,303,1575160423
1721,607,1575160430
2245,607,1575160445
1721,607,1575160460
533,607,1575160488
533,520,1575160491
420,520,1575160494
420,303,1575160499
63,303,1575160508
