x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272170.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272172.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-72,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272174.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272176.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272178.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272180.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272182.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272184.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272186.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272188.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272190.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272192.0
170.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272194.0
200.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272196.0
230.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272198.0
260.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272200.0
280.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_04F-05:-69,Eng2_03F-02:-78,5.0,1575272202.0
310.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_03F-02:-78,Eng2_04F-01:-75,5.0,1575272204.0
340.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-89,Eng2_03F-02:-78,Eng2_04F-01:-75,5.0,1575272206.0
370.0,200.0,Eng2_04F-02:-65,Eng2_03F-04:-67,Eng2_03F-02:-78,Eng2_04F-01:-75,5.0,1575272208.0
390.0,200.0,Eng2_04F-02:-65,Eng2_02F_A04:-74,Eng2_03F-04:-61,Eng2_03F-02:-78,5.0,1575272210.0
390.0,160.0,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-72,Eng2_03F-04:-67,5.0,1575272212.0
390.0,130.0,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-72,Eng2_03F-04:-67,5.0,1575272214.0
390.0,100.0,Eng2_04F-02:-65,Eng2_02F_A03:-85,Eng2_02F_A04:-80,Eng2_03F-04:-77,5.0,1575272216.0
430.0,100.0,Eng2_04F-02:-60,Eng2_02F_A03:-85,Eng2_02F_A04:-80,Eng2_03F-04:-77,5.0,1575272218.0
460.0,100.0,Eng2_04F-02:-60,Eng2_02F_A03:-81,Eng2_02F_A04:-80,Eng2_03F-04:-78,5.0,1575272220.0
490.0,100.0,Eng2_04F-02:-60,Eng2_02F_A03:-81,Eng2_02F_A04:-80,Eng2_03F-04:-78,5.0,1575272222.0
530.0,100.0,Eng2_04F-02:-60,Eng2_02F_A03:-80,Eng2_02F_A04:-80,Eng2_03F-04:-78,5.0,1575272224.0
560.0,100.0,Eng2_04F-02:-60,Eng2_02F_A03:-80,Eng2_02F_A04:-80,Eng2_03F-04:-78,5.0,1575272226.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
