x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
390.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_01F_A01:-73,5.0,1575160409.0
420.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_01F_A01:-73,5.0,1575160411.0
440.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5.0,1575160413.0
460.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-84,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5.0,1575160415.0
490.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-73,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5.0,1575160417.0
510.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-73,Eng2_02F_A04:-77,Eng2_01F_A01:-73,5.0,1575160419.0
540.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-65,5.0,1575160421.0
560.0,100.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-65,5.0,1575160423.0
560.0,120.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-05:-61,Eng2_03F-04:-82,5.0,1575160425.0
560.0,150.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-05:-61,Eng2_03F-04:-82,5.0,1575160427.0
560.0,170.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-78,Eng2_03F-05:-59,5.0,1575160429.0
560.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-78,Eng2_03F-05:-59,5.0,1575160431.0
580.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-76,Eng2_05F-07:-79,5.0,1575160433.0
610.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_06F-06:-76,Eng2_05F-07:-79,5.0,1575160435.0
630.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5.0,1575160437.0
660.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5.0,1575160439.0
680.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-79,Eng2_06F-06:-71,5.0,1575160441.0
710.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-79,Eng2_06F-06:-71,5.0,1575160443.0
730.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5.0,1575160445.0
710.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-71,5.0,1575160447.0
690.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-91,5.0,1575160449.0
670.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160451.0
640.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-77,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160453.0
620.0,200.0,Eng2_04F-04:-71,Eng2_03F-08:-85,Eng2_06F-06:-78,Eng2_05F-07:-79,5.0,1575160455.0
600.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160457.0
580.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160459.0
560.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160461.0
530.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160463.0
500.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_03F-08:-85,Eng2_06F-06:-78,5.0,1575160465.0
480.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng2_06F-06:-78,Eng2_05F-07:-79,5.0,1575160468.0
450.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng1_01F_A21:-89,Eng2_06F-06:-78,5.0,1575160470.0
420.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng1_01F_A21:-89,Eng2_06F-06:-78,5.0,1575160472.0
390.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng1_01F_A21:-90,Eng2_06F-06:-78,5.0,1575160474.0
370.0,200.0,Eng2_04F-04:-71,Eng2_02F_A03:-91,Eng1_01F_A21:-90,Eng2_03F-05:-84,5.0,1575160476.0
340.0,200.0,Eng2_04F-04:-71,Eng1_01F_A21:-90,Eng2_03F-05:-84,Eng2_06F-04:-79,5.0,1575160478.0
310.0,200.0,Eng2_04F-04:-81,Eng1_01F_A21:-90,Eng2_03F-05:-84,Eng2_06F-04:-79,5.0,1575160480.0
280.0,200.0,Eng2_04F-04:-81,Eng1_01F_A21:-90,Eng2_03F-05:-84,Eng2_06F-04:-79,5.0,1575160482.0
260.0,200.0,Eng2_04F-04:-81,Eng1_01F_A21:-90,Eng2_03F-05:-84,Eng2_06F-04:-79,5.0,1575160484.0
230.0,200.0,Eng2_04F-04:-81,Eng1_01F_A21:-90,Eng2_03F-05:-84,Eng2_06F-02:-84,5.0,1575160486.0
200.0,200.0,Eng2_04F-04:-81,Eng1_01F_A21:-90,Eng2_06F-02:-84,Eng2_03F-02:-79,5.0,1575160488.0
170.0,200.0,Eng2_04F-04:-81,Eng2_04F-05:-85,Eng2_06F-02:-84,Eng2_03F-02:-68,5.0,1575160490.0
170.0,170.0,Eng2_04F-04:-81,Eng2_04F-05:-85,Eng2_06F-02:-84,Eng2_03F-02:-68,5.0,1575160492.0
150.0,170.0,Eng2_04F-04:-81,Eng2_03F-04:-85,Eng2_04F-05:-85,Eng2_03F-02:-68,5.0,1575160494.0
140.0,170.0,Eng2_04F-04:-81,Eng2_03F-04:-85,Eng2_04F-05:-85,Eng2_03F-02:-68,5.0,1575160496.0
140.0,130.0,Eng2_04F-04:-81,Eng2_03F-04:-85,Eng2_04F-05:-85,Eng2_03F-02:-63,5.0,1575160498.0
140.0,100.0,Eng2_04F-04:-81,Eng2_03F-04:-85,Eng2_04F-05:-85,Eng2_03F-02:-63,5.0,1575160500.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
