x,y,AP1:RSSI,AP2:RSSI,AP3:RSSI,AP4:RSSI,Capabilities,epochTime
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-71,Eng2_03F-08:-89,Eng2_06F-06:-78,5,1574980390
1721,303,Eng2_04F-01:-82,Eng2_02F_A03:-79,Eng2_03F-05:-66,Eng2_03F-04:-88,5,1574980392
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-83,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980394
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980396
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_03F-05:-84,5,1574980398
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-89,Eng2_06F-06:-88,5,1574980400
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-89,Eng2_06F-06:-88,5,1574980402
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-77,Eng2_06F-06:-88,5,1574980404
2245,303,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-77,Eng2_06F-06:-88,5,1574980406
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-84,Eng2_06F-06:-88,5,1574980408
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-84,Eng2_06F-06:-88,5,1574980410
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_06F-06:-81,5,1574980412
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-88,Eng2_03F-08:-86,Eng2_06F-06:-81,5,1574980414
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-76,Eng2_03F-08:-90,Eng2_06F-06:-81,5,1574980416
0,0,Eng2_04F-01:-82,Eng2_02F_A03:-76,Eng2_03F-08:-90,Eng2_06F-06:-81,5,1574980418
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-76,Eng2_02F_A04:-84,Eng2_03F-08:-90,5,1574980420
1721,303,Eng2_04F-01:-83,Eng2_02F_A03:-76,Eng2_02F_A04:-84,Eng2_03F-08:-90,5,1574980422
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-84,Eng2_03F-05:-79,5,1574980424
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-84,Eng2_03F-05:-79,5,1574980426
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980428
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980430
1212,303,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980432
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-77,Eng2_03F-05:-85,5,1574980434
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980436
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980438
1212,607,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng1_01F_A22:-88,Eng2_02F_A04:-72,5,1574980440
0,0,Eng2_04F-01:-83,Eng2_02F_A03:-77,Eng1_01F_A22:-88,Eng2_02F_A04:-72,5,1574980442
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng2_02F_A04:-72,Eng2_03F-05:-83,5,1574980444
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng2_02F_A04:-72,Eng2_03F-05:-85,5,1574980446
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_02F_A04:-72,5,1574980448
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_02F_A04:-72,5,1574980450
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980452
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980454
0,0,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980456
533,607,Eng2_04F-01:-83,Eng1_01F_A22:-88,Eng1_01F_A21:-88,Eng2_03F-05:-85,5,1574980458
533,520,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980460
420,520,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980462
0,0,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980464
0,0,Eng2_04F-01:-83,Eng1_01F_A21:-88,Eng2_03F-05:-85,Eng2_06F-02:-50,5,1574980466
420,303,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980468
0,0,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980471
0,0,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980473
0,0,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980475
0,0,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980477
63,303,Eng2_04F-01:-83,Eng2_03F-05:-85,Eng2_03F-04:-87,Eng2_04F-05:-83,5,1574980479
0,0,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-76,5,1574980481
0,0,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-76,5,1574980483
0,0,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-70,5,1574980485
0,0,Eng2_04F-01:-83,Eng2_03F-04:-87,Eng2_04F-05:-83,Eng2_03F-02:-70,5,1574980487
420,303,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980489
0,0,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980491
420,520,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980493
420,607,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980495
0,0,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980497
0,0,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980499
0,0,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980501
0,0,Eng2_04F-01:-83,Eng2_03F-04:-77,Eng2_04F-05:-80,Eng2_03F-02:-70,5,1574980503
63,607,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980505
0,0,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980507
0,0,Eng2_04F-01:-83,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980509
0,0,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980511
0,0,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980513
420,607,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980515
0,0,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980517
420,520,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980519
533,520,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980521
533,607,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-04:-77,Eng2_04F-05:-80,5,1574980523
0,0,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-05:-86,Eng2_03F-04:-86,5,1574980525
0,0,Eng2_04F-01:-77,Info_03F_A02:-85,Eng2_03F-05:-86,Eng2_03F-04:-86,5,1574980527
0,0,Eng2_04F-01:-77,Eng2_03F-05:-80,Eng2_03F-04:-86,Eng2_03F-02:-66,5,1574980529
0,0,Eng2_04F-01:-77,Eng2_03F-05:-80,Eng2_03F-04:-86,Eng2_03F-02:-66,5,1574980531
0,0,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-04:-75,Eng2_03F-02:-66,5,1574980533
0,0,Eng2_04F-01:-77,Eng2_03F-05:-76,Eng2_03F-04:-75,Eng2_05F-05:-75,5,1574980535
0,0,Eng2_04F-01:-77,Eng2_03F-05:-81,Eng2_03F-04:-80,Eng2_05F-05:-85,5,1574980537
0,0,Eng2_04F-01:-77,Eng2_03F-05:-81,Eng2_03F-04:-80,Eng2_05F-05:-85,5,1574980539
1212,607,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980541
0,0,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980543
0,0,Eng2_04F-01:-77,Eng2_02F_A04:-74,Eng2_03F-05:-77,Eng2_03F-04:-63,5,1574980545
1212,303,Eng2_04F-01:-77,Eng2_02F_A04:-73,Eng2_03F-05:-77,Eng2_03F-04:-61,5,1574980547
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-87,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980549
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-87,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980551
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980553
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-77,5,1574980555
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-84,Eng2_02F_A04:-70,Eng2_03F-05:-83,5,1574980557
1721,303,Eng2_04F-01:-77,Eng2_02F_A03:-10,Eng2_02F_A04:-70,Eng2_03F-08:-87,5,1574980559
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980561
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980563
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980565
1721,607,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980567
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_03F-08:-87,Eng2_02F_A05:-87,5,1574980569
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980571
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980573
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980575
0,0,Eng2_04F-01:-77,Eng2_02F_A03:-80,Eng2_02F_A05:-87,Eng2_06F-06:-82,5,1574980577
1212,607,Eng2_04F-01:-77,Eng2_02F_A05:-87,Eng2_06F-06:-82,Eng2_03F-05:-71,5,1574980579
0,0,Eng2_04F-01:-77,Eng2_06F-06:-82,Eng2_03F-05:-78,Eng2_06F-04:-71,5,1574980581
0,0,Eng2_04F-01:-77,Eng2_03F-05:-78,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980583
0,0,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980585
0,0,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980587
0,0,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980589
0,0,Eng2_04F-01:-77,Eng2_03F-05:-87,Eng2_06F-04:-71,Eng2_03F-04:-79,5,1574980591
0,0,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-70,Eng2_05F-05:-82,5,1574980593
533,607,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-70,Eng2_05F-05:-82,5,1574980595
0,0,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-74,Eng2_05F-05:-82,5,1574980597
0,0,Eng2_04F-01:-77,Eng2_03F-05:-86,Eng2_03F-02:-74,Eng2_05F-05:-82,5,1574980599
0,0,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-02:-72,Eng2_05F-05:-82,5,1574980601
533,303,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-02:-72,Eng2_05F-05:-82,5,1574980603
0,0,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-72,Eng2_04F-05:-61,5,1574980605
0,0,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-72,Eng2_04F-05:-61,5,1574980607
0,0,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-71,Eng2_04F-05:-64,5,1574980609
0,0,Eng2_04F-01:-85,Eng2_03F-05:-86,Eng2_03F-04:-71,Eng2_04F-05:-64,5,1574980611
0,0,Eng2_04F-01:-85,Eng2_03F-04:-62,Eng2_04F-05:-71,Eng2_03F-02:-74,5,1574980613
0,0,Eng2_04F-01:-85,Eng2_03F-04:-62,Eng2_04F-05:-71,Eng2_03F-02:-74,5,1574980615
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-04:-79,Eng2_03F-04:-81,5,1574980617
1212,303,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-04:-79,Eng2_03F-04:-81,5,1574980619
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-73,Eng2_06F-04:-79,Eng2_03F-04:-72,5,1574980621
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-73,Eng2_06F-04:-79,Eng2_03F-04:-72,5,1574980623
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_03F-05:-84,Eng2_06F-04:-79,5,1574980625
1212,607,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_03F-05:-84,Eng2_06F-04:-79,5,1574980627
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-75,5,1574980629
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-75,5,1574980631
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-84,Eng2_03F-05:-66,5,1574980633
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-59,5,1574980635
0,0,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-68,5,1574980637
1721,607,Eng2_04F-01:-85,Eng2_02F_A04:-82,Eng2_06F-06:-83,Eng2_03F-05:-68,5,1574980639
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-75,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980642
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-75,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980644
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-78,Eng2_06F-06:-86,Eng2_03F-05:-63,5,1574980646
1721,303,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_06F-06:-86,Eng2_03F-05:-72,5,1574980648
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-83,Eng2_03F-08:-88,Eng2_06F-06:-86,5,1574980650
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-83,Eng2_03F-08:-88,Eng2_06F-06:-86,5,1574980652
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-76,Eng2_06F-06:-86,5,1574980654
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-76,Eng2_07F-06:-85,5,1574980656
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-74,Eng2_06F-07:-83,5,1574980658
0,0,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-74,Eng2_06F-07:-83,5,1574980660
2245,303,Eng2_04F-01:-85,Eng2_02F_A03:-81,Eng2_03F-08:-80,Eng2_06F-07:-72,5,1574980662
