,-56,-60,-73,-87,-59,-88,-80,-85,-79,-83,-76,-81,-72,-63,-82,-84,-97,-91,-90,-92,-66,-69,-89,-75,-78,-71,-86,-77,-50,-70,-74,-61,-10,-64,-62,-68,-65,-67,-57,-52
Eng2_03F-08,,,,",632,1185,1078,934,822,622,619,1197,1195,1192,1190,1187,1185,639,637",,",1187,1190,634,632,629,627,624,622",",1202,1200",,,,",1192,1195",,,,",634,637,639",",1200,1198,629",,,",1191,1189,1187,1185",,,,",637,634,632,629,627,624,622,822,934,1078,1195,1197",,,,",1187,1190,1192,1196,1193,632,634,637",",1200,1202",,,",1197,1200",,,,,,,,,
Eng2_06F-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",783,780,892,1044",,,,,,,,,,,
Info_03F_A02,,,,,,,,",568,570,573,575,577,580,726,780,783,583,586,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng2_02F_A05,,,,",1078,934,822,622,619,616,614,611,608,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng2_07F-06,,,,,,,,",1195",,,,,,,,",1182,1185,1078,934,822,622,619,616",,,,,",1197,1195,1192,1190",,,,,,,,,,,,,,,,,,,
Eng2_06F-07,,,,,,,,,,",1197,1200",,,",1202,1200,1197,1195,1192,1190,1187,1185",,,,,,,,,,,,,,,,,,,,,,,,,,,
Eng2_05F-07,,,,",624,622,619,616,614,611",,,,,,,,,,,,,,,,,,,,,,,,",629,627",,,,,,,,,,,,
Info_02F_A01,,,,,,,,,,,,,,,,,,,,,,,",780,580,577,575,573,570,568,570,573,575,577,580,836,996,1143,1140,1138,1136,1133,1131,1133,1136,1138,1140,1143,996,780,781,783,895,1047,1146",,,,,,,,,,,,,,,,,
Info_02F_A03,,,,,,,,,,,,,,,,",780,580,577,575,573,570,568,570,573,575,577,580,836,996,1143,1140,1138,1136,1133,1131,1133,1136,1138,1140",,,,,,,,,,,,,,,,,,,,,,,,
Info_03F_A07,,,,,,,,,,,,,,,,,,,",780,580",,,,,,,,,,,,,,,,,,,,,
Info_04F_A05,,,,,,,,",577,575,573,570,568,570,573,575,577,580,836,996,1143,1140,1138,1136,1133,1131,1133,1136,1138,1140,1143,996,780,781,783,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
