AP Mac Address,AP Name,CCXV,Capabilities,Channel,ChannelWidth,ChannelwidthAp,ChannelwidthClient,ConnRate,ConnScore,Device Type,Heard By,Hostname,MacAddress,NeighborMac,RSSI,SNR,SSID,SpatialStream,Status,Username,epochTime,maxAprate,maxClientrate,spatialstrmAp,spatialstrmClients,volume
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,,Unknown,b4:f7:a1:8d:1d:3c,,-50,42,WUNIST_AAA,3,336,tjsdn2560,1565811301.117402,400,867,2,2,13665702
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,,Unknown,b4:f7:a1:8d:1d:3c,,-50,42,WUNIST_AAA,3,340,tjsdn2560,1565811305.135713,400,867,2,2,13665702
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,,Unknown,b4:f7:a1:8d:1d:3c,,-50,42,WUNIST_AAA,3,344,tjsdn2560,1565811309.277302,400,867,2,2,13665702
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,,Unknown,b4:f7:a1:8d:1d:3c,,-50,42,WUNIST_AAA,3,348,tjsdn2560,1565811313.288342,400,867,2,2,13665702
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,352,tjsdn2560,1565811317.306924,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,356,tjsdn2560,1565811321.326249,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,360,tjsdn2560,1565811325.346528,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,364,tjsdn2560,1565811329.361088,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,368,tjsdn2560,1565811333.385788,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,372,tjsdn2560,1565811337.404629,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,376,tjsdn2560,1565811341.423482,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,380,tjsdn2560,1565811345.44101,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,384,tjsdn2560,1565811349.456973,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,388,tjsdn2560,1565811353.472885,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,392,tjsdn2560,1565811357.490138,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,396,tjsdn2560,1565811361.511919,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,400,tjsdn2560,1565811365.531486,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,404,tjsdn2560,1565811369.547289,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,408,tjsdn2560,1565811373.563205,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,413,tjsdn2560,1565811377.58082,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,417,tjsdn2560,1565811381.595893,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,421,tjsdn2560,1565811385.614335,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,425,tjsdn2560,1565811389.626561,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,429,tjsdn2560,1565811393.645187,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,,Unknown,b4:f7:a1:8d:1d:3c,,-48,44,WUNIST_AAA,3,433,tjsdn2560,1565811397.665387,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,3,437,tjsdn2560,1565811401.682216,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,135,33,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,3,441,tjsdn2560,1565811405.697919,400,867,2,2,13679324
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,445,tjsdn2560,1565811409.718426,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,449,tjsdn2560,1565811413.732024,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,453,tjsdn2560,1565811417.749345,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,457,tjsdn2560,1565811421.764585,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,461,tjsdn2560,1565811425.784328,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,465,tjsdn2560,1565811429.802786,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,469,tjsdn2560,1565811433.823074,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,473,tjsdn2560,1565811437.841849,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,477,tjsdn2560,1565811441.852871,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,481,tjsdn2560,1565811445.863796,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,485,tjsdn2560,1565811449.879329,400,867,2,2,25432611
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,270,67,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-55 dBm),Eng1_02F_A04(-73 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:27:d8",-48,44,WUNIST_AAA,4,489,tjsdn2560,1565811453.901903,400,867,2,2,25432611
