AP Mac Address,AP Name,CCXV,Capabilities,Channel,ChannelWidth,ChannelwidthAp,ChannelwidthClient,ConnRate,ConnScore,Device Type,Heard By,Hostname,MacAddress,NeighborMac,RSSI,SNR,SSID,SpatialStream,Status,Username,epochTime,maxAprate,maxClientrate,spatialstrmAp,spatialstrmClients,volume
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-80 dBm),Eng1_02F_A02(-72 dBm),Eng2_02F_A03(-89 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1e:08",-49,43,WUNIST_AAA,3,1592,tjsdn2560,1565814328.837619,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-78 dBm),Eng1_02F_A02(-71 dBm),Nature_02F_A07(-88 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1596,tjsdn2560,1565814332.855144,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-79 dBm),Eng1_02F_A02(-71 dBm),Nature_02F_A07(-89 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1600,tjsdn2560,1565814336.99799,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-78 dBm),Eng1_02F_A02(-67 dBm),Nature_02F_A07(-86 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1604,tjsdn2560,1565814341.010172,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-79 dBm),Eng1_02F_A02(-68 dBm),Nature_02F_A07(-86 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1608,tjsdn2560,1565814345.025006,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-78 dBm),Eng1_02F_A02(-65 dBm),Nature_02F_A07(-86 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1612,tjsdn2560,1565814349.041981,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-81 dBm),Eng1_02F_A02(-73 dBm),Nature_02F_A07(-88 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1616,tjsdn2560,1565814353.058732,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Eng1_02F_A03(-81 dBm),Eng1_02F_A02(-69 dBm),Nature_02F_A07(-86 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"38:20:56:7e:1c:e0,38:20:56:7e:1d:08,38:20:56:7e:1d:40",-49,43,WUNIST_AAA,3,1620,tjsdn2560,1565814357.078852,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-88 dBm),Eng1_02F_A03(-81 dBm),Eng1_02F_A02(-68 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-49,43,WUNIST_AAA,3,1624,tjsdn2560,1565814361.093764,400,867,2,2,491947630
38:20:56:84:53:40,Eng1_02F_A06,0,802.11ac (5GHz),157,40,40,80,180,45,,"Test-Out-01(-88 dBm),Eng1_02F_A03(-79 dBm),Eng1_02F_A02(-62 dBm)",Unknown,b4:f7:a1:8d:1d:3c,"00:42:68:22:96:10,38:20:56:7e:1c:e0,38:20:56:7e:1d:08",-49,43,WUNIST_AAA,3,1628,tjsdn2560,1565814365.112421,400,867,2,2,491947630
